city,day,slot,name,genre,google,price_jpy,area,nishiki_in,reserve,pick,note
osaka,1,저녁,야키니쿠 호르몬 우치다,야키니쿠+호르몬 회석,4.9,"6,000~9,900",도야마초(우메다),N,인터넷,🥇,"리뷰4825·6천엔 회석 합리적. Day1저녁 1순위"
osaka,1,저녁,야키니쿠갱 우메다점,와규 무한리필,4.8,"6,500",히가시우메다,N,인터넷,🥇,개인실 무한리필 가성비
osaka,1,저녁,야키니쿠 후지모토 오하츠텐진,코스·고베규,4.6,"6,800~8,800",소네자키,N,인터넷,,예약 난이도 높음
osaka,1,저녁,나마 호르몬 이타다키,호르몬(곱창),4.5,"5,800",나카쓰,N,인터넷,,곱창·새벽3시까지
osaka,1,점심,원조 쿠시카츠 다루마 도톤보리,쿠시카츠,–,"1,500~3,000",도톤보리,N,워크인,🥇,원조·한국어메뉴·글리코앞·니도즈케금지
osaka,1,점심,쿠시노보 호젠지,쿠시카츠 오마카세,–,–,호젠지,N,예약,,추성훈 단골·차분·술곁들이기
osaka,3,점심,삿포로 스프카레 JACK 모리노미야,스프카레,–,–,오사카성 옆(모리노미야),N,인터넷,🥇,"타베로그 백명점·야채 고로고로. *오사카성 GO시*"
osaka,3,점심대안,Rojiura Curry SAMURAI 그랜드프론트,스프카레,–,"1,000~1,999",우메다,N,워크인,,야채 11~20품·예약불가
osaka,–,스프카레대안,매직 스파이스 나니와,스프카레,–,–,나니와,N,워크인,,원조·미나미서 가장 가까운 전문점
osaka,–,스프카레대안,SPUSPU 혼마치,스프카레,3.0,"1,650",혼마치,N,전화,,15종야채·일휴무·토런치만(슬롯 안맞음)
osaka,3,저녁,텐진 마츠리 야타이,길거리음식,–,–,오카와 강변,N,–,✅,축제 야타이 그레이징(불꽃 관람 중)
osaka,4,아침,쿠로몬 시장,스시·카이센동·성게,–,–,쿠로몬,N,워크인,✅,원하신 해산물 몰아서
osaka,–,야식,라멘/타코야키 (킨류·이치란·아치치),라멘·타코야키,–,–,도톤보리,N,워크인,,Day1/3 야식
kyoto,2,점심,니시키 카츠즈시(錦 活鮨),스시+튀김,4.7,"2,100~2,600",니시키 시장,Y,인터넷,🥇,"스시·튀김·최고평점·합리적. 점심 1순위"
kyoto,2,점심,스시 코마츠(寿し小松),스시(주문식),4.2,"1,000~6,000",니시키 근처,N,인터넷,🥇,참치직영·단품·선술집형(여유형)
kyoto,2,점심,니시키 히라노(錦 平野),텐푸라 정식,4.2,"2,300~2,600",니시키 시장,Y,인터넷,,텐푸라 원하면·리뷰854
kyoto,2,점심,이시베코우지 마메차,가이세키 런치,4.2,"4,800",기온시조,N,인터넷,,평일점심 한정·전날예약·90분
kyoto,2,점심,킨마타 카운터런치(近又),가이세키,4.5,"6,000~8,500",카와라마치,N,인터넷,,등록문화재 미니가이세키
kyoto,2,점심,슌아이 사사키,가이세키,–,"6,600~8,800",교토,N,인터넷,,점심 가이세키
kyoto,2,저녁,기온 시즈카(祇園静水香),가이세키·사케페어링,4.9,"16,500/런치7,500",기온,N,인터넷,🥇,"미슐랭셰프·사케 최적. ⚠️환행제와 시간겹침→20시경"
kyoto,2,저녁,킨마타(近又),가이세키(등록문화재),4.5,"22,000~55,000",카와라마치,N,인터넷,,특별한 한 끼(고가)
kyoto,2,저녁,슌아이 사사키,가이세키,–,"13,500",교토,N,인터넷,,저녁 9품(18:00)
kyoto,2,저녁,스시덴푸라 기온 이와이,스시+덴푸라 오마카세,3.5,"12,800~15,800",기온,N,인터넷,,효고 미슐랭 게재점
kyoto,2,저녁,마메하치(豆八),두부·오반자이,4.0,"2,530~4,620",폰토초,N,인터넷,KEEP,오반자이 킵(백업)
