day,date,start,end,city,place,transport,type,title,desc,cost_jpy,note
1,7/23(목),15:00,16:30,오사카,간사이공항→난바,라피트,move,간사이공항 도착 · 호텔 체크인,"라피트 특급으로 난바 이동, 숙소에 짐 풀기.",1450,ICOCA 충전·교통패스 확인
1,7/23(목),17:00,18:30,오사카,신사이바시,도보,sig,신사이바시 지브리 스토어,도토로·키키 굿즈. 폐점 전 여유 있게.,4000,인기 굿즈 품절 주의
1,7/23(목),19:00,21:00,오사카,도톤보리,도보,eat,도톤보리 야경 · 첫 저녁,"글리코 사인, 다코야키. 운하 산책.",3000,인파 많음
2,7/24(금),09:00,09:40,교토,오사카→교토,특급,move,교토 이동,한큐/JR 특급으로 교토역.,410,러시아워 혼잡
2,7/24(금),09:50,11:30,교토,오이케도리~시조,도보,fes,기온 야마보코 후기 순행,9:30 출발 순행. 교차로 '츠지마와시'가 백미.,0,양산·물 필수
2,7/24(금),12:00,13:00,교토,니시키 시장,도보,eat,니시키 시장 점심,교토의 부엌. 두유도넛·말차.,2500,먹으며 걷기 금지 점포 있음
2,7/24(금),14:00,16:00,교토,청수사,버스,sig,청수사 · 산넨자카,기요미즈 무대, 지슈 신사.,500,돌계단 많음
2,7/24(금),17:00,20:00,교토,기온,도보,sig,기온 · 하나미코지,하나미코지·시라카와 산책.,3500,촬영 매너 주의
3,7/25(토),09:00,11:00,오사카,오사카성,지하철,sig,오사카성 · 천수각,공원 산책 후 천수각 전망대.,600,개장 직후가 한산
3,7/25(토),11:30,13:30,오사카,우메다,지하철,eat,우메다 · 공중정원 전망대,점심 후 우메다 스카이빌딩.,3500,전망대 시간대 지정
3,7/25(토),15:00,17:00,오사카,야마나카 사케,전철,etc,야마나카 사케 양조장 견학,긴키 사케 시음·구매.,2000,음주 후 이동 유의
3,7/25(토),18:00,21:30,오사카,텐진 후나토교,전철,fes,텐진 마츠리 후나토교 · 불꽃,수상 행렬 + 봉납 불꽃놀이.,0,명당 일찍 선점
4,7/26(일),10:00,12:30,오사카,난바,도보,sig,난바 · 쇼핑 마무리,돈키·드럭스토어 기념품.,5000,면세 여권 지참
4,7/26(일),13:00,14:00,오사카,난바→공항,라피트,move,공항 이동,라피트로 간사이공항.,1450,출발 3시간 전 도착
4,7/26(일),14:30,16:30,오사카,간사이공항,-,move,체크인 · 귀국,면세 수령, 마지막 식사.,2000,환전 정리
